City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Obidos,BR,2022-09-12 09:05:54,-1.9175,-55.5181,74.61,68,2,2.8
284,Sfantu Gheorghe,RO,2022-09-12 09:05:55,45.8667,25.7833,54.27,69,99,12.84
285,Cabanas,CU,2022-09-12 09:05:55,22.9758,-82.9219,79.48,84,86,4.14
286,Itarantim,BR,2022-09-12 09:05:55,-15.6597,-40.0656,58.51,95,46,0.87
287,Meulaboh,ID,2022-09-12 09:05:56,4.1363,96.1285,83.89,68,87,9.19
288,Puerto Del Rosario,ES,2022-09-12 09:05:56,28.5004,-13.8627,76.75,73,75,8.05
289,Dingle,PH,2022-09-12 09:05:56,10.9995,122.6711,83.57,81,30,6.67
290,Patacamaya,BO,2022-09-12 09:05:57,-17.2333,-67.9167,40.66,41,38,3.04
291,Yacuiba,BO,2022-09-12 09:05:57,-22.038,-63.6797,53.42,45,86,4.34
292,Kilindoni,TZ,2022-09-12 09:05:57,-7.9139,39.6668,76.98,69,89,7.05
