City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Coihaique,CL,-45.5752,-72.0662,45.21,93,20,6.91,light rain
250,Wilmington,US,34.2257,-77.9447,72.91,73,100,1.01,overcast clouds
251,Ponta Do Sol,PT,32.6667,-17.1,75.7,71,28,7.38,scattered clouds
252,Usinsk,RU,65.9939,57.5281,55.17,69,87,15.14,light rain
253,Aksu,CN,41.1231,80.2644,84.4,18,0,4.97,clear sky
254,Hammerfest,NO,70.6634,23.6821,43.25,65,75,4.61,broken clouds
255,Maloy,NO,61.9353,5.1136,52.74,11,98,6.55,light rain
256,Novoagansk,RU,61.9449,76.6625,53.08,68,100,9.19,light rain
257,Dalvik,IS,65.9702,-18.5286,42.39,86,100,6.96,overcast clouds
258,Camocim,BR,-2.9022,-40.8411,76.12,85,29,11.56,scattered clouds
259,Alta Floresta,BR,-9.8756,-56.0861,73.96,68,59,2.77,broken clouds
260,Chapais,CA,49.7834,-74.8492,48.99,94,99,11.1,overcast clouds
261,Guanare,VE,9.0418,-69.7421,69.67,90,57,3.04,broken clouds
262,Husavik,IS,66.0449,-17.3389,43.09,82,100,13.06,overcast clouds
263,Calvinia,ZA,-31.4707,19.776,73.15,16,0,9.1,clear sky
264,Darayya,SY,33.459,36.2374,83.84,26,0,7.74,clear sky
265,Matraterenye,HU,48.0327,19.9476,61.9,69,100,2.66,moderate rain
266,Thunder Bay,CA,48.4001,-89.3168,42.78,93,20,3.44,few clouds
267,Kushmurun,KZ,52.4503,64.6311,66.07,30,100,8.01,overcast clouds
268,Envira,BR,-7.3,-70.2167,71.58,94,33,2.48,scattered clouds
269,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.47,72,5,0.47,clear sky
270,Kamina,CD,-8.7386,24.9906,85.08,27,90,11.18,overcast clouds
271,Axim,GH,4.8699,-2.2405,75.49,87,100,3.38,overcast clouds
272,Fougamou,GA,-1.2154,10.5838,85.17,56,67,2.75,broken clouds
273,Rottingdean,GB,50.8098,-0.0594,61.29,97,40,9.22,light rain
274,Kattivakkam,IN,13.2167,80.3167,91.49,61,100,13.78,overcast clouds
